fac_name,fac_id,address,y,x,city,st,zip,parent_co,CarbonMetTon
ARCELORMITTAL PLATE LLC,1003668,139 MODENA RD,39.98301,-75.82791,COATESVILLE,PA,19320,ARCELORMITTAL USA (100%);,157977
ARCELORMITTAL PLATE LLC/CONSHOHOCKEN PLT,1003523,900 CONSHOHOCKEN RD,40.090954,-75.31707,CONSHOHOCKEN,PA,19428,ARCELORMITTAL USA (100%);,46802
Ardagh Glass Inc.,1002009,83 GRIFFITH ST,39.574909,-75.469493,SALEM,NJ,8079,ARDAGH GROUP (100%);,2021
Atlantic City Electric,1009651,5 Collins Drive,39.70545,-75.44815,Carneys Point,NJ,8069,PEPCO HOLDINGS INC (100%);,0
BASF Corporation,1005378,205 South James Street,39.71161,-75.60906,Newport,DE,19804,BASF CORP (100%);,33885
BOEING HELICOPTER DIV,1000638,,39.862773,-75.321425,RIDLEY PARK,PA,19078,THE BOEING CO (100%);,22962
BURLINGTON CNTY RESOURCE RECOVERY COMPLEX,1006969,21939 COLUMBUS ROAD,40.0758,-74.7617,COLUMBUS,NJ,8022,BURLINGTON COUNTY (100%);,54190
Burlington Generating Station,1000743,,40.0753,-74.8781,BURLINGTON,NJ,8016,PUBLIC SERVICE ENTERPRISE GROUP INC (100%);,29624
CAMDEN CNTY RESOURCE RECOVERY ASSOC,1000362,600 MORGAN BOULEVARD,39.9094,-75.1167,CAMDEN,NJ,8104,CAMDEN COUNTY ENERGY RECOVERY ASSOCIATES LP (1%);COVANTA ENERGY (99%);,139156
CHEMOURS CHAMBERS WORKS,1002618,"67 Canal Road, PO Box 9001",39.6845,-75.4966,DEEPWATER,NJ,8023,"The Chemours Co FC, LLC (100%);",655361
CONESTOGA LANDFILL,1002556,420 Quarry Road,40.123384,-75.895918,MORGANTOWN,PA,19543,REPUBLIC SERVICES INC (100%);,143101
COVANTA PLYMOUTH RENEWABLE ENERGY LP,1007884,1155 CONSHOHOCKEN ROAD,40.09584,-75.31056,CONSHOHOCKEN,PA,19428,COVANTA ENERGY (100%);,172474
"Camden Plant Holding, LLC",1001226,570 CHELTON AVE,39.9175,-75.1192,CAMDEN,NJ,8104,Talen Energy Corp (100%);,123752
Carneys Point,1005877,500 SHELL RD,39.6928,-75.4867,CARNEYS POINT,NJ,8069,"Calypso Energy Holdings LLC (60%);Epsilon Power Partners, LLC (Atlantic Power Generation) (40%);",1129823
Cecil County Central Landfill,1004812,758 East Old Philadelphia Road,39.594758,-75.916937,Elkton,MD,21921,CECIL COUNTY BOARD OF COMMISIONERS (100%);,50668
Chemours Edge Moor Plant,1002616,104 HAY RD,39.752722,-75.495151,EDGEMOOR,DE,19809,"THE CHEMOURS CO FC, LLC (100%);",85168
Christiana energy Center,1001475,251 CHRISTIANA Avenue,39.7302,-75.5371,WILMINGTON,DE,19801,CALPINE CORP (100%);,0
Cromby,1000896,100 CROMBY ROAD,40.1514,-75.5306,PHOENIXVILLE,PA,19460,EXELON CORP (100%);,0
DE SOLID WASTE AUTHORITY CHERRY ISLAND,1002010,1706 E. 12TH STREET,39.732754,-75.517487,WILMINGTON,DE,19809,DELAWARE SOLID WASTE AUTHORITY (100%);,216101
DE SOLID WASTE AUTHORITY PIGEON POINT,1004897,1101 LAMBSON LANE,39.70547,-75.53271,NEW CASTLE,DE,19720,DELAWARE SOLID WASTE AUTHORITY (20%);CITY OF WILMINGTON (80%);,29095
DUPONT EXPERIMENTAL STATION,1002712,200 Powder Mill Rd,39.774444,-75.572222,WILMINGTON,DE,19803,E I DU PONT DE NEMOURS & CO (100%);,77682
Deepwater,1000737,373 NORTH BROADWAY,39.6747,-75.5015,PENNSVILLE,NJ,8070,CALPINE CORP (100%);,0
Delaware City Refinery,1007322,4550 WRANGLE HILL ROAD,39.5936,-75.6337,DELAWARE CITY,DE,19706,PBF ENERGY CO LLC (100%);DELAWARE CITY REFINING CO (0%);,4184267
