county,Name,reg_desig,esr,Cong_Dist,add,urban_rura,ck_name,f_area,Sum_POP200,Sum_HOUSEH,arc,rurilec,distressed,totalhh,pop2000,popden2000,hhpct_0401,hhpct_0501,hhpct_0601,hhpct_0701,hhpct_0801,hhpct_0807,chnghhpct,samp05,samp07,adopt05,adopt07,adptchng,awareck05,noneed05,noneed07,medhhinc,perwhite,college,unemp,medage
111,Jefferson,N/A,The Louisville Area,Congressional District 3,KIPDA Area Development District,METRO,Jefferson County,1.1106e+10,693112,286801,0,0,0,286801,532516,1336.7,1,1,1,1,1,1,0,139,85,0.427,0.657,0.541,0.235,0.498,0.557,51.4,0.683,0.266,0.074,46.4
067,Fayette,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,METRO,Fayette County,7960001904,260512,108288,0,0,0,108288,209361,733.2,0.996,0.998,0.998,0.999,1,1,0.004,106,85,0.531,0.748,0.408,0.19,0.192,0.298,56.3,0.794,0.433,0.022,41.6
117,Kenton,N/A,The Northern Kentucky Area,Congressional District 4,Northern Kentucky Area Development District,SUBURBAN,Kenton County,4589136721,151349,59406,0,0,0,59406,113462,689.3,0.985,0.99,0.99,0.997,0.998,0.998,0.014,103,85,0.446,0.688,0.545,0.097,0.279,0.338,43.1,0.875,0.408,0.047,42.3
227,Warren,N/A,The Bowling Green - Hopkinsville Area,Congressional District 2,Barren River Area Development District,METRO,Warren County,1.5275e+10,92522,35365,0,0,0,35365,75398,137.6,0.843,0.883,0.885,0.929,0.957,0.958,0.137,98,86,0.336,0.513,0.529,0.241,0.134,0.26,46.6,0.897,0.344,0.062,42.2
015,Boone,N/A,The Northern Kentucky Area,Congressional District 4,Northern Kentucky Area Development District,SUBURBAN,Boone County,7161814905,85920,31230,0,0,0,31230,74164,288.7,0.917,0.947,0.952,0.976,0.998,0.998,0.088,99,85,0.439,0.618,0.41,0.189,0.338,0.403,52.8,0.932,0.371,0.029,42
093,Hardin,N/A,The Louisville Area,Congressional District 2,Lincoln Trail Area Development District,METRO,Hardin County,1.7559e+10,94174,34497,0,0,0,34497,70555,112,0.673,0.94,0.957,0.976,0.982,0.983,0.46,94,85,0.393,0.533,0.354,0.226,0.326,0.355,38.5,0.842,0.266,0.047,45.9
059,Daviess,N/A,The Owensboro - Henderson Area,Congressional District 2,Green River Area Development District,METRO,Daviess County,1.3263e+10,91241,35908,0,0,0,35908,69822,146.8,0.881,0.94,0.946,0.956,0.967,0.978,0.11,96,85,0.193,0.346,0.795,0.309,0.152,0.231,41.6,0.941,0.237,0.05,45
037,Campbell,N/A,The Northern Kentucky Area,Congressional District 4,Northern Kentucky Area Development District,SUBURBAN,Campbell County,4445249511,88589,34732,0,0,0,34732,65996,413.9,0.94,0.948,0.959,0.999,0.999,0.999,0.063,94,85,0.439,0.678,0.545,0.141,0.363,0.469,34.1,0.863,0.273,0.039,43.7
157,Marshall,Distressed DRA,The Paducah - Purchase Area,Congressional District 1,Purchase Area Development District,RURAL,Marshall County,9486074474,30082,12390,0,1,1,12390,59605,134.5,0.841,0.894,0.914,0.951,0.977,0.979,0.164,95,85,0.247,0.407,0.65,0.182,0.38,0.417,45.1,0.868,0.366,0.017,39.4
195,Pike,ARC,The Mountain Area,Congressional District 5,Big Sandy Area Development District,RURAL,Pike County,2.1989e+10,68736,27612,1,1,0,27612,52335,66.4,0.442,0.703,0.703,0.817,0.875,0.875,0.981,87,86,0.156,0.326,1.095,0.235,0.369,0.144,23.9,0.837,0.104,0.077,47.1
029,Bullitt,N/A,The Louisville Area,Congressional District 2,KIPDA Area Development District,SUBURBAN,Bullitt County,8371855476,61236,22171,0,0,0,22171,50203,167.2,0.959,0.981,0.984,0.993,0.995,0.995,0.038,94,85,0.356,0.557,0.566,0.107,0.258,0.411,45.9,0.963,0.128,0.023,40.5
151,Madison,ARC,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SMALL METRO,Madison County,1.2351e+10,70872,27152,1,1,0,27152,49994,186.4,0.735,0.907,0.931,0.957,0.971,0.971,0.322,91,85,0.337,0.493,0.46,0.209,0.226,0.262,46.5,0.929,0.348,0.023,48
047,Christian,Distressed DRA,The Bowling Green - Hopkinsville Area,Congressional District 1,Pennyrile Area Development District,SUBURBAN,Christian County,2.0186e+10,72265,24857,0,0,1,24857,48775,67.4,0.847,0.871,0.882,0.904,0.919,0.919,0.086,96,85,0.206,0.429,1.081,0.182,0.398,0.237,37,0.7,0.195,0.037,42
199,Pulaski,ARC,The Cumberland Area,Congressional District 5,Lake Cumberland Area Development District,SMALL METRO,Pulaski County,1.8872e+10,56212,22716,1,1,0,22716,45562,67.3,0.48,0.81,0.861,0.9,0.937,0.938,0.953,94,85,0.271,0.5,0.843,0.178,0.265,0.454,37.1,0.909,0.205,0.027,45.5
125,Laurel,ARC,The Cumberland Area,Congressional District 5,Cumberland Valley Area Development District,SMALL METRO,Laurel County,1.2374e+10,52715,20353,1,1,0,20353,42330,95.4,0.731,0.911,0.957,0.961,0.982,0.982,0.343,90,85,0.205,0.429,1.099,0.214,0.199,0.363,31,0.899,0.179,0.035,47
185,Oldham,N/A,The Louisville Area,Congressional District 4,KIPDA Area Development District,SUBURBAN,Oldham County,5484876982,46178,14856,0,0,0,14856,39419,200.4,0.972,0.981,0.981,0.982,0.997,0.997,0.026,87,85,0.548,0.707,0.292,0.17,0.304,0.469,94.7,0.822,0.435,0.012,42.5
